id,recipe_id,name,kcal,protein,fat,carbohydrates,sugars,sodium,cholesterol,saturated_fat
118,118,닭곰탕,331.5,48.815,9.23,13,1.95,1105,234.13,1.95
119,119,닭구이,873.8,89.114,45.526,26.52,0,2553.4,405.212,12.75
120,120,닭꼬치구이,176.4,11.564,8.568,13.349,3.15,287,31.444,2.317
121,121,닭날개구이,129,11.25,7.25,3.84,1.25,289,54.48,2
122,122,닭날개튀김,514,34.34,32.54,20.98,0,538,150.68,7.82
123,123,닭다리튀김,646,37.72,39.2,35.76,7.42,820,117.94,9.56
124,124,닭도리탕,444.6,37.107,19.038,31.92,8.835,946.2,128.592,5.073
125,125,닭모래집볶음,176,28.11,5.8,2.82,2.73,364,363.87,1.14
126,126,닭모래집튀김,468,28.095,26.595,29.1,1.8,322.5,251.91,4.095
127,127,닭발구이,431.2,39.93,20.702,21.34,0.682,1819.4,180.07,5.676
128,128,닭발볶음,372,27.6,18.76,23.44,12.74,1948,825.58,4.4
129,129,닭백숙,341.6,25.803,12.871,27.389,2.257,298.9,89.975,3.477
130,130,닭볶음탕,333,35.73,9.66,25.56,1.26,1128,127.32,3.57
131,131,닭조림,295.5,27.045,16.35,9.855,0.75,705,105.48,4.095
132,132,닭죽,176,10.72,2.28,28.56,0,468,29.8,1.32
133,133,닭찜,321,37.11,18.27,1.8,0,672,198.66,2.94
134,134,당근볶음,85.5,0.837,5.967,7.011,4.05,194.4,0,0.99
135,135,대구볼찜,288,27.072,7.872,34.368,6.976,915.2,77.312,1.344
136,136,대구찜,375,51.7,7.9,24.7,5.7,1900,263.3,1.1
137,137,대창구이,595,9.11,60.25,4.05,1.13,126,51.05,25.6
138,138,더덕구이,184,3.1,5.2,31.1,11.6,743,0.12,0.8
139,139,더덕무침,45.5,0.903,0.455,10.304,2.982,103.6,0.014,0.077
140,140,도가니탕,200,41.75,1.65,4.1,0,750,91.7,0.65
141,141,도라지생채,29.4,0.924,0.371,6.51,2.87,199.5,0,0.063
142,142,도토리묵무침,42.7,0.959,0.868,8.239,1.218,235.9,0,0.14
143,143,돈가스,280,13.85,17.94,15.89,4.99,343,26.48,3.16
144,144,돈코츠라멘,98,4.14,6.42,5.87,0.77,377,20.85,1.23
145,145,돌나물,21.6,0.576,0.351,4.707,2.214,138.6,0,0.063
146,146,돌솥비빔밥,473,15.455,11.385,76.945,6.765,638,159.83,2.695
